slug,title,availability,learned,shelf,house_rating,setup_minutes,teach_difficulty,table_space,interaction,luck,downtime,modes,moods,accessibility_flags,content_flags,recommendation_notes,local_values_required,local_min_players,local_max_players,local_min_minutes,local_max_minutes,local_min_age
ticket-to-ride,Ticket to Ride,available,,,,,,,,,,,,,,,no,,,,,
botany,Botany,available,,,,,,,,,,,,,,,no,,,,,
everdell,Everdell,available,,,,,,,,,,,,,,,no,,,,,
everdell-duo,Everdell Duo,available,,,,,,,,,,,,,,,no,,,,,
gaia-project,Gaia Project,available,,,,,,,,,,,,,,,no,,,,,
terraforming-mars,Terraforming Mars,available,,,,,,,,,,,,,,,no,,,,,
wingspan,Wingspan,available,,,,,,,,,,,,,,,no,,,,,
clank-catacombs,Clank!: Catacombs,available,,,,,,,,,,,,,,,no,,,,,
one-hit-heroes,One-Hit Heroes,available,,,,,,,,,,,,,,,no,,,,,
the-castles-of-burgundy,The Castles of Burgundy,available,,,,,,,,,,,,,,,no,,,,,
heat-pedal-to-the-metal,Heat: Pedal to the Metal,available,,,,,,,,,,,,,,,no,,,,,
terraria-the-board-game,Terraria: The Board Game,available,,,,,,,,,,,,,,,no,,,,,
spirit-island,Spirit Island,available,,,,,,,,,,,,,,,no,,,,,
dead-cells-the-rogue-lite-board-game,Dead Cells: The Rogue-Lite Board Game,available,,,,,,,,,,,,,,,no,,,,,
stardew-valley-the-board-game,Stardew Valley: The Board Game,available,,,,,,,,,,,,,,,no,,,,,
secret-hitler,Secret Hitler,available,,,,,,,,,,,,,,,no,,,,,
twilight-imperium-fourth-edition,Twilight Imperium: Fourth Edition,available,,,,,,,,,,,,,,,no,,,,,
one-last-fight,One Last Fight,available,,,,,,,,,,,,,,,no,,,,,
unsettled,Unsettled,available,,,,,,,,,,,,,,,no,,,,,
throw-throw-burrito,Throw Throw Burrito,available,,,,,,,,,,,,,,,no,,,,,
command-of-nature,Command of Nature,available,,,,,,,,,,,,,,,no,,,,,
medium,Medium,available,,,,,,,,,,,,,,,no,,,,,
monikers,Monikers,available,,,,,,,,,,,,,,,no,,,,,
deep-regrets,Deep Regrets,available,,,,,,,,,,,,,,,no,,,,,
brink,Brink,available,,,,,,,,,,,,,,,no,,,,,
pandemic,Pandemic,available,,,,,,,,,,,,,,,no,,,,,
leviathan-wilds,Leviathan Wilds,available,,,,,,,,,,,,,,,no,,,,,
azul,Azul,available,,,,,,,,,,,,,,,no,,,,,
betrayal-at-house-on-the-hill,Betrayal at House on the Hill,available,,,,,,,,,,,,,,,no,,,,,
blokus,Blokus,available,,,,,,,,,,,,,,,no,,,,,
star-munchkin-deluxe,Star Munchkin Deluxe,available,,,,,,,,,,,,,,,no,,,,,
dice-throne-season-one-barbarian-and-moon-elf,Dice Throne: Season One – Barbarian & Moon Elf,available,,,,,,,,,,,,,,,no,,,,,
dice-throne-season-one-pyromancer-and-shadow-thief,Dice Throne: Season One – Pyromancer & Shadow Thief,available,,,,,,,,,,,,,,,no,,,,,
micromacro-crime-city-full-house,MicroMacro: Crime City – Full House,available,,,,,,,,,,,,,,,no,,,,,
illiterati,Illiterati,available,,,,,,,,,,,,,,,no,,,,,
arcs,Arcs,available,,,,,,,,,,,,,,,no,,,,,
root,Root,available,,,,,,,,,,,,,,,no,,,,,
7-wonders-duel,7 Wonders Duel,available,,,,,,,,,,,,,,,no,,,,,
dungeon-degenerates-hand-of-doom,Dungeon Degenerates: Hand of Doom,available,,,,,,,,,,,,,,,no,,,,,
agricola-revised-edition,Agricola (Revised Edition),available,,,,,,,,,,,,,,,no,,,,,
marvel-champions-the-card-game,Marvel Champions: The Card Game,available,,,,,,,,,,,,,,,no,,,,,
arkham-horror-the-card-game-revised-core-set,Arkham Horror: The Card Game (Revised Core Set),available,,,,,,,,,,,,,,,no,,,,,
gloomhaven,Gloomhaven,available,,,,,,,,,,,,,,,no,,,,,
twisted-cryptids,Twisted Cryptids,available,,,,,,,,,,,,,,,no,,,,,
hand-to-hand-wombat,Hand-to-Hand Wombat,available,,,,,,,,,,,,,,,no,,,,,
gloomhaven-jaws-of-the-lion,Gloomhaven: Jaws of the Lion,available,,,,,,,,,,,,,,,no,,,,,
robot-quest-arena,Robot Quest Arena,available,,,,,,,,,,,,,,,no,,,,,
buzzed-tower,Buzzed Tower,available,,,,,,,,,,,,,alcohol,,yes,,,,,
one-night-ultimate-super-villains,One Night Ultimate Super Villains,available,,,,,,,,,,,,,,,no,,,,,
the-resistance,The Resistance,available,,,,,,,,,,,,,,,no,,,,,
codenames,Codenames,available,,,,,,,,,,,,,,,no,,,,,
coup,Coup,available,,,,,,,,,,,,,,,no,,,,,
decrypto,Decrypto,available,,,,,,,,,,,,,,,no,,,,,
anomia,Anomia,available,,,,,,,,,,,,,,,no,,,,,
hive,Hive,available,,,,,,,,,,,,,,,no,,,,,
the-game-of-things,The Game of THINGS…,available,,,,,,,,,,,,,,,no,,,,,
dominion-second-edition,Dominion: Second Edition,available,,,,,,,,,,,,,,,no,,,,,
